arabic_name,english_name,description,channel_url,avatar_url,id,created_date,updated_date,created_by_id,created_by,is_sample
"احمد سعد زايد","Ahmed Saad Zayed","قناة معنية بالتنوير الفكري و الثقافي وهي محاولة للتفكير الموضوعي العقلاني معا لا سعادة حقيقة ونهضة مبهجة الا بوعي وثقافة عميقة بالماضي و الحاضر و رؤية متطلعة للمستقبل","https://www.youtube.com/@ahmedsaadzayed","https://yt3.googleusercontent.com/ytc/AIdro_leDwqR_UlMLtNvYjPMHetmyAASnD_HSDBJKp44P8ErRlaN=s160-c-k-c0x00ffffff-no-rj","68f9ef57d5640453c9ea668c","2025-10-23T09:03:19.925000","2025-11-09T18:04:31.266000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"خزعل الماجدي","Khazal Al_Majidi","","https://www.youtube.com/@%D8%AE%D8%B2%D8%B9%D9%84%D8%A7%D9%84%D9%85%D8%A7%D8%AC%D8%AF%D9%8A-%D8%B57%D8%B7","https://yt3.googleusercontent.com/ytc/AIdro_nKQRy5EZc5UFdDTYtn_JfqDrP-UPLkFlQ8ZqSrL4v2ibQ=s160-c-k-c0x00ffffff-no-rj","6910f64b96a171e14f99a960","2025-11-09T20:15:07.080000","2025-11-26T20:27:38.287000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" رشيد ايلال","Aylal Rachid","قناة رشيد ايلال هي قناة الفكر الحر البعيد عن التعصب للاشخاص أو الاديان او الافكار، هي قناة للمحاججة بالدليل العلمي، لا بأقوال الرجال ، التي يتم رفعها الى مكان التقديس المطلق","https://www.youtube.com/@aylalrachid","https://yt3.googleusercontent.com/ytc/AIdro_nHDuq0psMgh4tdULHCZxeu9Fa9GGFb5GVrth9W_O1T9RM=s160-c-k-c0x00ffffff-no-rj","6910f91bd73398f92fc92541","2025-11-09T20:27:07.025000","2025-11-09T20:27:07.025000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" إبراهيم عيسى","Ibrahim Essa","براهيم عيسى كاتب روائي وصحفي ومؤلف سينمائي ومقدم برامج تليفزيونية","https://www.youtube.com/@IbrahimEssaChannel","https://yt3.googleusercontent.com/YNKVNiHGmVnAG6fUHyuyzDx38NQZO5C0KOk-bOQU5QkQLHnd-QOdfPplSfCvNzqZ8a8VxTnzaw=s160-c-k-c0x00ffffff-no-rj","691104b9881bc8fbe8c8c0c7","2025-11-09T21:16:41.553000","2025-11-09T21:16:41.553000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"نادر حمامي","Nader Hammami","","https://www.youtube.com/@naderhammami8332","https://yt3.googleusercontent.com/ytc/AIdro_nUewa0Qc1QbWf2ZyH7g48_zqgHDYxV4_FxoosN4j28ZDQ=s160-c-k-c0x00ffffff-no-rj","691109419a81e19ad487794c","2025-11-09T21:36:01.586000","2025-11-09T21:36:01.586000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"ارنست وليم","Arnest William","","https://www.youtube.com/@Mr031969","https://yt3.googleusercontent.com/PkEfs4M5bYIw-WgfvQ9eDKVNxgCcEyfbnTgp6fxTBIybXdia-FmzcfV5GTFXZNOSu4lyA8Y35Ts=s160-c-k-c0x00ffffff-no-rj","69199b8be17885824168a530","2025-11-16T09:38:19.301000","2025-11-16T09:38:55.521000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"محمد صالح","Mohammed Saleh"," نشر أفكاره والإسهام في إحداث تغيير إيجابي في مجتمعاتنا وتوعية الناس وتحسين مستقبل أبنائن","https://www.youtube.com/@shaikmohammedsaleh","https://yt3.googleusercontent.com/J0wEyADlsRVHZUXKAsP7WH_4hJ2SlDqoZTT0pNLd5WLyToBYuBVTHYtfYyt4ck44PKGymZS5-w=s160-c-k-c0x00ffffff-no-rj","6919bac0734d81476e1bf7a0","2025-11-16T11:51:28.280000","2025-11-16T11:52:59.656000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"هشام آدم","Hisham Adam","كان هنالك شخص اسمه هشام آدم هنا، ورحل","https://www.youtube.com/@AnnoyingTalks","https://yt3.googleusercontent.com/AUeeycIrF4iFpqDrU7OGzz8JrQB8aIsZMjzGzrQnZx3x-SOvElfkIlkO9g1vyswbRXD-mUym=s160-c-k-c0x00ffffff-no-rj","691b9a920b81ed5bbad4f30f","2025-11-17T21:58:42.625000","2025-11-17T22:00:49.371000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"جِدالات","Jedalat","هذه القناة مخصصة للمناقشات والحوارات الدينية","https://www.youtube.com/@Jedalat","https://yt3.googleusercontent.com/PWNl6Hawf0airQvGEzVSvwHORQKuFFDdhaj0Pi-JFX0a--R7kyd7mau7uwsLC-pItDM3YV9G=s160-c-k-c0x00ffffff-no-rj","6922e550aa16e888ae32fbe8","2025-11-23T10:43:28.139000","2025-11-23T10:43:28.139000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"مع شعيب","With Shuaib","","https://www.youtube.com/@%D9%85%D8%B9%D8%B4%D8%B9%D9%8A%D8%A8","https://yt3.googleusercontent.com/uh1n7rlrHQCIhFAaV4c7RNe-JGuPfDNf2-vpr6l2RNHQszMLeMAYtq8mv4aNKNQgJVI1V8ea858=s160-c-k-c0x00ffffff-no-rj","69270055a309ca4aafcdc346","2025-11-26T13:27:49.485000","2025-11-26T13:33:06.333000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
